"Blues" "Female" "Male" "Geno" "Hybrid" "Lines" "Exp.I" "Exp.II" "Exp.III" "Exp.IV" "Exp.V"
"7" 8.902496994 "910102" "910102" "910102" 0 1 0 0 0 0 1
"8" 9.778975237 "910102" "sur99820sur186" "910102&&sur99820sur186" 1 0 0 0 0 0 1
"9" 8.992795475 "accent" "accent" "accent" 0 1 0 0 0 0 1
"10" 9.376061706 "accent" "malemixlate" "accent&&malemixlate" 1 0 0 0 0 0 1
"12" 7.774489584 "advokat" "advokat" "advokat" 0 1 0 0 0 0 1
"13" 8.960210773 "advokat" "nordsaatmix" "advokat&&nordsaatmix" 1 0 0 0 0 0 1
"14" 8.261419572 "agriss" "agriss" "agriss" 0 1 0 0 0 0 1
"15" 9.437594581 "agriss" "nordsaatmix" "agriss&&nordsaatmix" 1 0 0 0 0 0 1
"16" 6.912946944 "aheloy" "aheloy" "aheloy" 0 1 0 0 0 0 1
"17" 9.670314816 "aheloy" "sur99820sur186" "aheloy&&sur99820sur186" 1 0 0 0 0 0 1
"18" 8.592834193 "ahmetaga" "ahmetaga" "ahmetaga" 0 1 0 0 0 0 1
"19" 9.475750443 "ahmetaga" "sur99820sur186" "ahmetaga&&sur99820sur186" 1 0 0 0 0 0 1
"21" 8.275486251 "albatros" "albatros" "albatros" 0 1 0 0 0 0 1
"22" 9.650267794 "albatros" "sur99820sur186" "albatros&&sur99820sur186" 1 0 0 0 0 0 1
"23" 6.806887388 "alex" "alex" "alex" 0 1 0 0 0 0 1
"25" 9.138745993 "alex" "sur99820sur186" "alex&&sur99820sur186" 1 0 0 0 0 0 1
"26" 7.299141344 "alpu" "alpu" "alpu" 0 1 0 0 0 0 1
"27" 8.921759705 "alpu" "malemixearly" "alpu&&malemixearly" 1 0 0 0 0 0 1
"28" 7.817830447 "alto" "alto" "alto" 0 1 0 0 0 0 1
"29" 9.114178782 "alto" "sur99820sur186" "alto&&sur99820sur186" 1 0 0 0 0 0 1
"30" 9.362106387 "alves" "alves" "alves" 0 1 0 0 0 0 1
"31" 9.888819359 "alves" "nordsaatmix" "alves&&nordsaatmix" 1 0 0 0 0 0 1
"32" 9.084179766 "ambello" "ambello" "ambello" 0 1 0 0 0 0 1
"35" 9.26597654 "apache" "agriss" "apache&&agriss" 1 0 0 0 0 0 1
"36" 8.072981456 "apache" "albatros" "apache&&albatros" 1 0 0 0 0 0 1
"37" 9.05077249 "apache" "apache" "apache" 0 1 0 0 0 0 1
"38" 9.308009132 "apache" "chambord" "apache&&chambord" 1 0 0 0 0 0 1
"39" 9.248359363 "apache" "cleo" "apache&&cleo" 1 0 0 0 0 0 1
"40" 8.568731778 "apache" "comtal" "apache&&comtal" 1 0 0 0 0 0 1
"41" 8.930404495 "apache" "gambrinus" "apache&&gambrinus" 1 0 0 0 0 0 1
"42" 9.134697006 "apache" "hard" "apache&&hard" 1 0 0 0 0 0 1
"43" 8.890067746 "apache" "hela" "apache&&hela" 1 0 0 0 0 0 1
"44" 8.919144756 "apache" "lentia" "apache&&lentia" 1 0 0 0 0 0 1
"45" 10.38962211 "apache" "sur99820sur186" "apache&&sur99820sur186" 1 0 0 0 0 0 1
"46" 8.408441616 "apache" "tri10054" "apache&&tri10054" 1 0 0 0 0 0 1
"47" 8.585974837 "apache" "tri10181" "apache&&tri10181" 1 0 0 0 0 0 1
"48" 7.746956172 "apache" "tri10238" "apache&&tri10238" 1 0 0 0 0 0 1
"49" 8.797107572 "apache" "tri10398iso" "apache&&tri10398iso" 1 0 0 0 0 0 1
"51" 8.500412666 "apache" "tri11127iso" "apache&&tri11127iso" 1 0 0 0 0 0 1
"52" 7.558434336 "apache" "tri11141" "apache&&tri11141" 1 0 0 0 0 0 1
"53" 9.197518636 "apache" "tri11259iso" "apache&&tri11259iso" 1 0 0 0 0 0 1
"54" 8.716508426 "apache" "tri11271" "apache&&tri11271" 1 0 0 0 0 0 1
"55" 6.317748599 "apache" "tri11273" "apache&&tri11273" 1 0 0 0 0 0 1
"57" 9.046369665 "apache" "tri11638iso" "apache&&tri11638iso" 1 0 0 0 0 0 1
"58" 8.734475514 "apache" "tri12004iso" "apache&&tri12004iso" 1 0 0 0 0 0 1
"59" 7.863828854 "apache" "tri12038" "apache&&tri12038" 1 0 0 0 0 0 1
"60" 8.971093891 "apache" "tri12047iso" "apache&&tri12047iso" 1 0 0 0 0 0 1
"61" 7.582174405 "apache" "tri12931" "apache&&tri12931" 1 0 0 0 0 0 1
"62" 7.800004111 "apache" "tri12965" "apache&&tri12965" 1 0 0 0 0 0 1
"63" 8.785500906 "apache" "tri13028iso" "apache&&tri13028iso" 1 0 0 0 0 0 1
"64" 8.072022017 "apache" "tri13215" "apache&&tri13215" 1 0 0 0 0 0 1
"65" 8.76653425 "apache" "tri13220" "apache&&tri13220" 1 0 0 0 0 0 1
"67" 7.121933719 "apache" "tri13305" "apache&&tri13305" 1 0 0 0 0 0 1
"68" 8.767794811 "apache" "tri13428iso" "apache&&tri13428iso" 1 0 0 0 0 0 1
"69" 8.083335326 "apache" "tri13509" "apache&&tri13509" 1 0 0 0 0 0 1
"70" 7.854266913 "apache" "tri13519" "apache&&tri13519" 1 0 0 0 0 0 1
"71" 8.861737738 "apache" "tri13590iso" "apache&&tri13590iso" 1 0 0 0 0 0 1
