"Genotype" "Female" "Male" "Type" "Yield"
"1" "M001" "M001" "M001" "Line" 9.918
"2" "M002" "M002" "M002" "Line" 9.815
"3" "M003" "M003" "M003" "Line" 9.277
"4" "M004" "M004" "M004" "Line" 9.589
"5" "M005" "M005" "M005" "Line" 9.81
"6" "M006" "M006" "M006" "Line" 10.393
"7" "M007" "M007" "M007" "Line" 9.829
"8" "M008" "M008" "M008" "Line" 10.003
"9" "M009" "M009" "M009" "Line" 9.967
"10" "M010" "M010" "M010" "Line" 9.363
"11" "M011" "M011" "M011" "Line" 10.057
"12" "M012" "M012" "M012" "Line" 9.113
"13" "M013" "M013" "M013" "Line" 9.892
"14" "M014" "M014" "M014" "Line" 10.125
"15" "M015" "M015" "M015" "Line" 10.086
"16" "F001" "F001" "F001" "Line" 9.969
"17" "F002" "F002" "F002" "Line" 9.542
"18" "F003" "F003" "F003" "Line" 10.064
"19" "F004" "F004" "F004" "Line" 9.789
"20" "F005" "F005" "F005" "Line" 9.293
"21" "F006" "F006" "F006" "Line" 10.461
"22" "F007" "F007" "F007" "Line" 9.84
"23" "F008" "F008" "F008" "Line" 9.608
"24" "F009" "F009" "F009" "Line" 9.737
"25" "F010" "F010" "F010" "Line" 9.468
"26" "F011" "F011" "F011" "Line" 9.71
"27" "F012" "F012" "F012" "Line" 9.842
"28" "F013" "F013" "F013" "Line" 9.382
"29" "F014" "F014" "F014" "Line" 9.729
"30" "F015" "F015" "F015" "Line" 9.307
"31" "F016" "F016" "F016" "Line" 9.893
"32" "F017" "F017" "F017" "Line" 9.524
"33" "F018" "F018" "F018" "Line" 9.133
"34" "F019" "F019" "F019" "Line" 8.356
"35" "F020" "F020" "F020" "Line" 10.448
"36" "F021" "F021" "F021" "Line" 9.606
"37" "F022" "F022" "F022" "Line" 9.659
"38" "F023" "F023" "F023" "Line" 9.335
"39" "F024" "F024" "F024" "Line" 9.947
"40" "F025" "F025" "F025" "Line" 9.597
"41" "F026" "F026" "F026" "Line" 9.73
"42" "F027" "F027" "F027" "Line" 8.966
"43" "F028" "F028" "F028" "Line" 9.688
